timestamp,username,source_ip,hostname,event_type,auth_method,port
2026-03-31 11:57:54,jsmith,10.0.3.151,WORKSTATION-014,SUCCESS,password,270
2026-03-24 13:54:43,adavis,10.0.2.208,WORKSTATION-013,FAILED,password,400
2026-03-09 14:17:32,klee,10.0.2.208,WORKSTATION-016,SUCCESS,password,386
2026-03-30 13:48:37,tjohnson,10.0.2.208,SERVER-05,SUCCESS,password,179
2026-03-01 08:15:13,cnguyen,10.0.2.63,WORKSTATION-004,SUCCESS,password,308
2026-02-14 02:33:55,admin,185.220.101.45,DC-01,FAILED,password,22
2026-01-21 17:18:44,pmartinez,10.0.3.57,WORKSTATION-007,SUCCESS,password,117
2026-01-25 16:38:38,adavis,10.0.1.179,WORKSTATION-010,SUCCESS,password,433
2026-02-14 02:30:55,admin,185.220.101.45,DC-01,FAILED,password,22
2026-02-14 02:31:20,admin,185.220.101.45,DC-01,FAILED,password,22
2026-03-26 08:18:38,cnguyen,10.0.0.56,WORKSTATION-012,SUCCESS,password,339
2026-01-27 10:45:28,klee,10.0.5.29,WORKSTATION-008,SUCCESS,password,87
2026-01-06 13:32:04,hgarcia,10.0.0.56,WORKSTATION-015,SUCCESS,password,109
2026-03-24 09:30:03,pmartinez,10.0.0.195,WORKSTATION-019,FAILED,password,116
2026-02-21 14:36:43,tjohnson,10.0.5.190,WORKSTATION-006,SUCCESS,password,392
2026-03-23 12:12:07,hgarcia,10.0.5.190,SERVER-03,SUCCESS,password,107
2026-01-28 15:38:56,jsmith,10.0.3.57,WORKSTATION-010,SUCCESS,password,135
2026-03-08 15:55:13,hgarcia,10.0.2.63,WORKSTATION-004,SUCCESS,password,143
2026-03-05 10:28:22,hgarcia,10.0.4.23,SERVER-02,SUCCESS,password,290
2026-01-30 12:08:11,cnguyen,10.0.5.29,SERVER-04,FAILED,password,280
2026-02-03 14:09:53,pmartinez,10.0.2.208,SERVER-01,SUCCESS,password,409
2026-03-07 14:23:32,adavis,10.0.5.190,WORKSTATION-001,SUCCESS,password,391
2026-01-06 08:37:30,rbrown,10.0.3.151,WORKSTATION-017,SUCCESS,password,340
2026-01-31 09:37:01,mwilson,10.0.0.56,WORKSTATION-019,SUCCESS,password,272
2026-03-14 15:53:57,hgarcia,10.0.0.56,DC-01,SUCCESS,password,390
2026-01-04 16:12:46,jsmith,10.0.4.7,WORKSTATION-001,FAILED,password,351
2026-02-21 13:50:31,swang,10.0.0.56,WORKSTATION-009,SUCCESS,password,370
2026-02-04 16:56:55,adavis,10.0.5.167,SERVER-01,SUCCESS,password,201
2026-03-18 13:15:08,jsmith,10.0.0.195,WORKSTATION-007,SUCCESS,password,363
2026-03-10 08:27:41,pmartinez,10.0.5.190,SERVER-01,FAILED,password,160
2026-01-05 17:41:43,hgarcia,10.0.4.51,DC-01,SUCCESS,password,300
2026-02-07 15:06:15,tjohnson,10.0.4.51,WORKSTATION-019,SUCCESS,password,231
