timestamp,username,src_ip,dst_ip,protocol,bytes_out,bytes_in,duration_sec,dst_port
2026-02-19 15:07:32,adavis,10.0.2.63,89.135.22.187,TCP,21850,18889,381,53
2026-02-09 09:30:01,swang,10.0.5.167,91.107.136.180,TCP,1720,9019,568,8080
2026-01-24 16:36:29,hgarcia,10.0.0.190,56.172.52.24,TCP,24931,1454,151,8080
2026-03-18 16:31:04,swang,10.0.3.151,98.138.112.176,HTTPS,35822,4266,213,22
2026-03-16 08:49:56,rbrown,10.0.2.208,118.63.193.21,TCP,45728,17088,107,22
2026-02-19 09:32:27,jsmith,10.0.5.167,56.172.52.24,UDP,43809,18827,260,443
2026-01-03 09:11:51,cnguyen,10.0.1.130,50.35.23.170,TCP,23945,8238,75,443
2026-02-26 10:28:44,mwilson,10.0.3.57,118.63.193.21,TCP,14247,7347,201,22
2026-01-23 15:31:43,hgarcia,10.0.1.36,109.174.142.40,TCP,17937,436,597,53
2026-01-12 17:43:32,jsmith,10.0.0.190,175.36.87.137,TCP,34333,4923,576,22
2026-01-24 16:25:24,adavis,10.0.4.51,175.36.87.137,UDP,23764,10415,535,443
2026-02-12 16:51:50,mwilson,10.0.4.23,56.172.52.24,HTTPS,2088,3352,209,80
2026-01-08 17:53:13,swang,10.0.5.190,91.107.136.180,TCP,47118,4882,448,8080
2026-01-13 16:47:25,klee,10.0.5.190,56.172.52.24,TCP,44892,9153,158,443
2026-01-17 10:21:57,adavis,10.0.5.140,98.49.183.217,TCP,44149,15751,439,443
2026-03-07 09:45:44,swang,10.0.1.130,84.28.117.211,TCP,28901,3491,534,443
2026-02-14 09:08:20,hgarcia,10.0.5.27,187.125.83.119,HTTPS,27585,14840,126,8080
2026-03-06 15:16:23,klee,10.0.5.140,109.174.142.40,TCP,20235,11135,531,53
2026-02-18 12:17:27,pmartinez,10.0.3.151,175.36.87.137,TCP,20500,3048,313,443
2026-03-28 08:25:36,cnguyen,10.0.0.56,109.174.142.40,HTTPS,26055,818,9,443
2026-01-31 12:12:53,pmartinez,10.0.0.195,118.63.193.21,TCP,22040,8165,371,443
2026-03-25 15:49:42,rbrown,10.0.4.7,175.36.87.137,UDP,14510,18543,196,443
2026-02-20 15:45:00,jsmith,10.0.5.29,45.33.32.156,TCP,1880276,206,55,443
2026-03-02 15:48:06,hgarcia,10.0.5.140,117.186.83.95,TCP,6105,2188,35,443
2026-03-22 17:07:27,rbrown,10.0.5.140,117.186.83.95,TCP,19401,3810,9,443
2026-03-04 15:24:21,adavis,10.0.4.51,98.138.112.176,TCP,26496,1437,11,443
2026-01-10 10:32:58,jsmith,10.0.1.179,59.148.40.219,TCP,45584,8019,175,443
2026-02-11 10:16:54,rbrown,10.0.4.109,117.186.83.95,TCP,35389,15199,206,53
2026-02-05 16:12:10,tjohnson,10.0.2.208,50.35.23.170,TCP,19517,5488,383,443
2026-03-18 14:25:52,rbrown,10.0.0.195,187.125.83.119,TCP,31433,16998,153,53
2026-03-19 17:19:10,hgarcia,10.0.4.23,175.36.87.137,UDP,28907,14819,434,8080
2026-01-29 09:07:31,swang,10.0.4.109,109.174.142.40,HTTPS,35924,11043,24,443
2026-03-08 08:08:49,klee,10.0.2.63,98.138.112.176,TCP,24173,14809,220,443
2026-02-10 13:50:30,cnguyen,10.0.5.190,117.186.83.95,TCP,19011,3024,495,443
2026-03-10 09:15:23,tjohnson,10.0.5.29,89.135.22.187,TCP,24250,18496,486,443
2026-02-20 14:30:00,jsmith,10.0.5.29,45.33.32.156,TCP,932315,257,53,443
2026-01-29 13:28:43,klee,10.0.5.140,109.174.142.40,TCP,41451,19367,171,8080
2026-01-22 10:05:12,cnguyen,10.0.4.7,98.138.112.176,HTTPS,823,1920,266,53
2026-01-15 09:20:08,klee,10.0.5.190,187.125.83.119,UDP,23608,10663,507,443
2026-02-20 15:15:00,jsmith,10.0.5.29,45.33.32.156,TCP,1632621,278,38,443
2026-02-18 16:42:56,klee,10.0.4.51,117.186.83.95,TCP,48599,13687,92,80
2026-01-02 15:02:13,klee,10.0.0.56,98.138.112.176,HTTPS,8589,1943,501,443
2026-02-11 17:47:00,rbrown,10.0.5.167,59.148.40.219,TCP,18995,16122,85,53
2026-02-07 15:02:14,cnguyen,10.0.4.23,50.35.23.170,TCP,43748,14325,546,80
2026-01-10 16:17:45,tjohnson,10.0.1.179,84.28.117.211,TCP,38114,14019,446,443
2026-02-01 10:26:57,adavis,10.0.1.130,118.63.193.21,UDP,8427,1899,208,443
2026-03-05 10:03:15,hgarcia,10.0.3.151,98.138.112.176,HTTPS,4078,14030,353,443
2026-02-19 15:16:56,cnguyen,10.0.0.190,117.186.83.95,TCP,49064,8222,575,80
2026-03-18 08:08:09,adavis,10.0.4.7,60.51.194.72,TCP,45355,7949,54,22
2026-02-20 14:45:00,jsmith,10.0.5.29,45.33.32.156,TCP,711595,113,98,443
2026-02-14 13:03:56,pmartinez,10.0.1.179,91.107.136.180,TCP,17036,14149,346,22
2026-01-13 14:38:54,swang,10.0.1.36,56.172.52.24,UDP,14806,7124,114,8080
2026-01-07 15:06:53,jsmith,10.0.5.167,175.36.87.137,TCP,18501,10593,355,443
2026-03-09 14:38:50,pmartinez,10.0.1.130,98.49.183.217,TCP,25612,13918,563,443
2026-02-01 17:02:38,tjohnson,10.0.4.51,109.174.142.40,TCP,28687,15712,219,80
2026-02-10 16:12:19,mwilson,10.0.0.56,56.172.52.24,TCP,37636,15311,559,443
2026-03-24 10:51:04,swang,10.0.5.140,50.35.23.170,UDP,5144,18849,81,443
2026-02-07 15:46:50,mwilson,10.0.3.57,98.138.112.176,TCP,7916,19134,438,22
2026-02-14 13:11:15,mwilson,10.0.4.109,118.63.193.21,TCP,35589,8236,388,53
2026-01-21 10:05:47,mwilson,10.0.1.179,118.63.193.21,TCP,28929,17710,19,80
2026-01-02 16:42:55,klee,10.0.0.195,56.172.52.24,UDP,43349,8632,565,443
2026-02-24 16:57:33,jsmith,10.0.0.195,60.51.194.72,UDP,19194,10777,394,443
2026-01-23 08:39:48,jsmith,10.0.1.36,118.63.193.21,TCP,48859,14241,250,8080
2026-01-07 14:15:29,mwilson,10.0.4.51,56.172.52.24,HTTPS,9497,586,103,443
2026-03-07 16:25:37,rbrown,10.0.2.208,60.51.194.72,UDP,17781,19346,511,22
2026-03-12 10:02:26,mwilson,10.0.3.151,56.172.52.24,TCP,21647,18617,195,8080
2026-01-03 10:53:16,tjohnson,10.0.1.36,109.174.142.40,TCP,25333,3836,347,443
2026-03-31 14:49:27,adavis,10.0.4.23,50.35.23.170,TCP,4725,10596,351,8080
2026-03-03 11:45:23,klee,10.0.0.195,91.107.136.180,HTTPS,40145,5575,430,53
2026-02-26 09:49:32,klee,10.0.5.29,56.172.52.24,UDP,12267,6170,403,80
2026-03-26 16:17:44,adavis,10.0.4.109,142.150.185.148,UDP,41024,15771,528,443
2026-02-26 14:03:06,hgarcia,10.0.0.190,91.107.136.180,TCP,18590,17825,379,443
2026-03-10 10:02:26,tjohnson,10.0.0.8,117.186.83.95,UDP,41854,19333,241,22
2026-02-13 13:08:17,hgarcia,10.0.1.130,91.107.136.180,TCP,34635,13795,296,53
2026-01-13 11:40:11,pmartinez,10.0.5.27,98.138.112.176,HTTPS,43490,1824,239,80
2026-01-02 09:19:36,hgarcia,10.0.1.130,98.138.112.176,TCP,12216,14742,474,80
2026-01-28 14:35:38,pmartinez,10.0.3.57,56.172.52.24,TCP,9455,15576,201,443
2026-03-03 15:40:37,mwilson,10.0.1.36,109.174.142.40,TCP,49370,6349,431,22
2026-01-18 10:49:49,klee,10.0.4.51,60.51.194.72,UDP,23570,7335,429,8080
2026-03-28 14:09:00,swang,10.0.4.109,109.174.142.40,TCP,28492,12828,151,443
2026-01-10 12:14:56,swang,10.0.1.179,175.36.87.137,UDP,26184,13074,104,443
2026-03-10 10:55:54,mwilson,10.0.5.27,56.172.52.24,UDP,8326,2036,455,22
2026-02-21 17:23:15,hgarcia,10.0.0.8,89.135.22.187,HTTPS,25669,3058,109,443
2026-02-02 11:26:27,rbrown,10.0.4.51,187.125.83.119,HTTPS,20137,10884,24,8080
2026-01-22 14:43:56,klee,10.0.1.36,59.148.40.219,TCP,7717,7557,105,443
2026-01-21 15:07:17,pmartinez,10.0.5.140,109.174.142.40,HTTPS,10706,15599,150,22
2026-03-17 15:35:24,tjohnson,10.0.1.36,89.135.22.187,UDP,8655,11688,476,443
2026-01-29 13:36:25,swang,10.0.0.190,117.186.83.95,TCP,24204,9006,257,53
2026-02-28 15:32:23,adavis,10.0.3.57,175.36.87.137,TCP,35563,12155,115,53
2026-02-21 08:27:36,jsmith,10.0.1.130,60.51.194.72,TCP,18053,13868,485,80
2026-01-19 14:11:38,klee,10.0.0.8,60.51.194.72,HTTPS,32849,17194,444,80
2026-02-28 14:07:07,adavis,10.0.4.7,117.186.83.95,TCP,3139,17330,157,80
2026-03-05 15:44:22,hgarcia,10.0.4.51,187.125.83.119,TCP,20261,2961,38,8080
2026-02-03 17:59:12,adavis,10.0.1.36,117.186.83.95,TCP,8850,10468,390,8080
2026-03-18 17:00:29,hgarcia,10.0.4.51,59.148.40.219,UDP,41146,3518,348,22
2026-03-04 09:17:56,cnguyen,10.0.2.208,84.28.117.211,UDP,35031,5932,272,22
2026-01-11 08:19:04,jsmith,10.0.0.8,142.150.185.148,HTTPS,25374,9044,175,443
2026-01-29 08:31:25,swang,10.0.3.57,60.51.194.72,HTTPS,47988,16187,238,22
2026-03-10 09:42:37,jsmith,10.0.2.63,59.148.40.219,HTTPS,10866,1189,151,443
2026-02-26 12:02:41,jsmith,10.0.1.179,59.148.40.219,TCP,23747,4764,480,22
2026-01-03 11:18:10,rbrown,10.0.2.208,56.172.52.24,TCP,14387,19766,12,53
2026-02-19 15:48:28,mwilson,10.0.5.140,98.49.183.217,TCP,6353,13622,397,443
2026-03-08 10:44:27,swang,10.0.4.7,84.28.117.211,HTTPS,26002,525,575,53
2026-01-07 10:41:09,swang,10.0.4.7,91.107.136.180,HTTPS,22735,15256,144,443
2026-02-11 16:48:24,mwilson,10.0.2.63,98.49.183.217,TCP,22593,19538,265,443
2026-02-10 11:11:57,mwilson,10.0.1.179,175.36.87.137,UDP,30504,12804,188,22
2026-03-07 11:00:57,cnguyen,10.0.5.167,109.174.142.40,TCP,2220,5225,384,53
2026-03-02 16:31:08,mwilson,10.0.2.208,50.35.23.170,UDP,1106,9923,121,443
2026-03-25 12:50:20,hgarcia,10.0.5.167,60.51.194.72,TCP,20301,9180,470,443
2026-02-24 09:28:15,tjohnson,10.0.1.130,117.186.83.95,HTTPS,43799,8743,571,8080
2026-01-15 15:55:20,pmartinez,10.0.1.36,187.125.83.119,UDP,17723,17262,4,443
2026-03-31 15:51:29,jsmith,10.0.1.36,56.172.52.24,HTTPS,40454,3538,576,80
2026-03-31 12:24:45,klee,10.0.4.7,56.172.52.24,TCP,19378,2650,548,8080
2026-03-23 13:16:35,mwilson,10.0.2.63,98.49.183.217,TCP,19836,14765,532,443
2026-03-14 10:10:33,rbrown,10.0.3.57,109.174.142.40,TCP,27782,6072,154,443
2026-01-19 13:48:25,swang,10.0.4.7,98.49.183.217,TCP,22213,13545,516,80
2026-01-28 10:14:56,tjohnson,10.0.0.8,175.36.87.137,TCP,22770,18370,252,443
2026-01-25 14:22:53,hgarcia,10.0.4.23,117.186.83.95,HTTPS,18936,1690,166,22
2026-01-30 13:19:18,rbrown,10.0.3.57,109.174.142.40,TCP,9815,19520,432,80
2026-01-18 16:46:37,pmartinez,10.0.0.8,187.125.83.119,TCP,15721,9943,506,443
2026-03-08 10:16:15,pmartinez,10.0.1.179,117.186.83.95,TCP,1308,4025,95,22
2026-01-21 16:46:15,cnguyen,10.0.5.29,109.174.142.40,TCP,49987,17454,105,8080
2026-01-11 13:33:37,tjohnson,10.0.4.23,98.138.112.176,TCP,30273,3410,151,22
2026-02-12 13:38:40,adavis,10.0.5.29,84.28.117.211,TCP,21547,3727,461,443
2026-02-01 16:30:32,mwilson,10.0.0.56,91.107.136.180,TCP,17814,17638,255,443
2026-01-18 16:55:28,jsmith,10.0.0.195,142.150.185.148,TCP,36768,7669,63,22
2026-02-02 16:02:42,cnguyen,10.0.5.140,175.36.87.137,TCP,42830,3100,170,22
2026-01-01 08:55:32,tjohnson,10.0.4.7,59.148.40.219,UDP,27751,13131,383,443
2026-02-16 10:03:07,rbrown,10.0.3.151,91.107.136.180,TCP,39388,14415,153,22
2026-01-24 08:07:15,cnguyen,10.0.4.51,59.148.40.219,TCP,45587,19734,177,22
2026-02-07 16:49:24,swang,10.0.4.51,117.186.83.95,TCP,14061,6231,4,443
2026-02-26 15:59:58,adavis,10.0.0.8,91.107.136.180,TCP,2615,11277,432,443
2026-01-06 13:23:54,adavis,10.0.5.27,118.63.193.21,UDP,9946,18271,432,443
2026-01-29 12:13:00,pmartinez,10.0.0.195,50.35.23.170,TCP,20476,17092,37,443
2026-01-27 17:35:20,adavis,10.0.2.63,59.148.40.219,TCP,17408,9248,266,53
2026-03-09 09:50:37,klee,10.0.5.190,50.35.23.170,UDP,42744,14410,306,8080
2026-02-20 13:11:28,cnguyen,10.0.5.29,56.172.52.24,UDP,5086,6506,54,22
2026-01-04 17:05:40,cnguyen,10.0.3.57,60.51.194.72,TCP,5945,7001,543,443
2026-01-24 16:41:50,adavis,10.0.5.27,118.63.193.21,HTTPS,27156,14813,86,53
2026-03-20 17:23:44,hgarcia,10.0.4.51,187.125.83.119,TCP,6243,4298,139,80
2026-02-09 09:21:40,swang,10.0.2.63,142.150.185.148,TCP,18407,4994,232,443
2026-01-07 14:16:56,cnguyen,10.0.2.208,56.172.52.24,HTTPS,42907,17703,25,443
2026-01-21 08:50:26,cnguyen,10.0.5.27,118.63.193.21,TCP,30806,19830,326,80
